company,sector,subsector,year,quarter,amount_usd_m,round_type,lead_investor,country,source_name,source_url,note
Optimism (OP Labs),Web3,Ethereum L2 / Scaling,2022,Q1,150,Series B,a16z crypto; Paradigm,USA,CoinTelegraph — Top crypto funding stories of 2022,https://cointelegraph.com/news/top-crypto-funding-stories-of-2022,Ethereum optimistic rollup L2. Among the most significant L2 fundraises in Q1 2022.
ConsenSys,Web3,Ethereum Ecosystem / Web3 Dev,2022,Q1,450,Series D,ParaFi Capital,USA,Fortune — 10 biggest crypto funding rounds of 2022 / Crunchbase News,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Valued at $7B. Developer of MetaMask (30M+ MAUs). 4 months after $200M Series C.
Yuga Labs,Web3,NFT / Web3,2022,Q1,450,Seed,a16z crypto,USA,Fortune — 10 biggest crypto funding rounds of 2022,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Valued at $4B. Creator of Bored Ape Yacht Club. Under SEC investigation for unregistered securities.
Aptos Labs,Web3,L1 Blockchain,2022,Q1,200,Private Round,Tiger Global; Coinbase Ventures; FTX Ventures,USA,Crunchbase News — Web3 Startup Aptos Locks Up $150M (references prior $200M),https://news.crunchbase.com/web3/web3-startup-venture-unicorn-aptos,First of two Aptos raises in 2022. Then raised $150M Series A in July 2022.
Immutable,Web3,NFT / Gaming Infrastructure,2022,Q1,200,Series C,Temasek,Australia,CryptoSlate / PatentPC / BlockchainGamer,https://cryptoslate.com/web3-startups-raised-7b-funding-in-2022-with-gaming-accounting-for-62,Builder of Immutable X — L2 NFT platform with zero gas fees. Gaming studio expansion.
Circle,Web3,Stablecoin / Payments,2022,Q2,400,Private Equity,BlackRock; Fidelity Management; Marshall Wace,USA,Fortune — 10 biggest crypto funding rounds of 2022 / Crunchbase News,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,USDC issuer. Planned SPAC at $9B valuation fell through December 2022. Traditional finance investors.
NEAR Protocol,Web3,L1 Blockchain,2022,Q2,350,Ecosystem Fund,Tiger Global; FTX Ventures,USA,CoinTelegraph — Top crypto funding stories of 2022,https://cointelegraph.com/news/top-crypto-funding-stories-of-2022,Second large round in H1 2022. Earmarked for ecosystem growth and regional hub expansion.
Ava Labs,Web3,L1 Blockchain (Avalanche),2022,Q2,350,Undisclosed,Polychain Capital,USA,CoinTelegraph — Top crypto funding stories of 2022,https://cointelegraph.com/news/top-crypto-funding-stories-of-2022,Valued at $5.25B. Avalanche was top-5 DeFi blockchain by TVL at time of raise.
Sky Mavis,Web3,Gaming / NFT (Axie Infinity),2022,Q2,150,Emergency Funding,Binance,Vietnam,TechCrunch — Decentralized web3 startups find out no safety net,https://techcrunch.com/2022/04/21/decentralized-web3-startups-find-out-the-hard-way-theres-no-safety-net,Emergency raise to reimburse users after $625M Ronin bridge hack by Lazarus Group (North Korea).
Ledger,Web3,Crypto Hardware Wallet,2022,Q2,380,Series C,Sequoia; 10T Holdings,France,Crunchbase News — Web3 Funding Drops Q1 2023,https://news.crunchbase.com/web3/vc-backed-funding-drops-q1-2023,Leading hardware wallet manufacturer. Added $108M extension at same $1.4B valuation later in 2022.
Chainalysis,Web3,Blockchain Analytics,2022,Q2,170,Series F,GIC (Singapore sovereign wealth fund),USA,TechCrunch — Chainalysis raises $170M at $8.6B valuation,https://techcrunch.com/2022/05/10/crypto-forensics-startup-chainalysis-raises-170m-at-8-6b-valuation,Valuation doubled to $8.6B. Provides blockchain compliance and investigation software to governments and enterprises.
StarkWare,Web3,Ethereum L2 / ZK-Rollup,2022,Q2,100,Series D,Multiple undisclosed,Israel,CoinTelegraph — Crypto Biz Smart Money May 2022,https://cointelegraph.com/news/crypto-biz-smart-money-is-betting-big-on-web3-layer-2-may-19-25,Developer of StarkEx and StarkNet ZK-rollup L2 solutions.
Improbable,Web3,Metaverse / Gaming Infrastructure,2022,Q2,150,Series B,Undisclosed,UK,BlockchainGamer — Web3 projects fundraising in 2022,https://www.blockchaingamer.biz/news/21303/web3-projects-fundraising-in-2022,Developer of interoperable Web3 metaverse infrastructure.
Magic Eden,Web3,NFT Marketplace,2022,Q2,130,Series B,Paradigm,USA,CoinTelegraph — Top crypto funding stories of 2022,https://cointelegraph.com/news/top-crypto-funding-stories-of-2022,Leading Solana-based NFT marketplace. Valued at $1.6B post-round.
Aptos Labs,Web3,L1 Blockchain,2022,Q3,150,Series A,FTX Ventures; Jump Crypto,USA,Crunchbase News — Web3 Startup Aptos Locks Up $150M From FTX Ventures,https://news.crunchbase.com/web3/web3-startup-venture-unicorn-aptos,Valued at $2B+. One of only 5 rounds >$100M in Q3 2022. ⚠️ Lead investor FTX Ventures collapsed Nov 2022.
Limit Break,Web3,Gaming / NFT,2022,Q3,200,Undisclosed,Paradigm; Standard Crypto; Josh Buckley,USA,CoinEx Medium — Six blockchain projects that raised over $100M in 2022,https://coinex.medium.com/six-blockchain-projects-that-raised-over-100-million-in-2022-will-they-be-the-ideal-investment-f27762cc998c,Parent company of DigiDaigaku NFT. Free-to-own gaming model. One of only 5 rounds >$100M in Q3 2022.
Mysten Labs,Web3,L1 Blockchain (Sui),2022,Q3,300,Series B,FTX Ventures; Jump Crypto,USA,Fortune — 10 biggest crypto funding rounds of 2022,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Creator of Sui L1 blockchain. Founded by ex-Meta engineers. ⚠️ Lead investor FTX Ventures collapsed Nov 2022. One of only 5 rounds >$100M in Q3 2022.
Unknown (Q3 Deal #4),Web3,Unknown,2022,Q3,UNCONFIRMED,Unknown,Unknown,Unknown,Crunchbase News — Web3 Funding Sees Huge Drop As Big Rounds Dip,https://news.crunchbase.com/business/web3-funding-crypto-blockchain-a16z,⚠️ Crunchbase states exactly 5 rounds >$100M in Q3 2022. This is the 4th — identity unknown from public sources.
Unknown (Q3 Deal #5),Web3,Unknown,2022,Q3,UNCONFIRMED,Unknown,Unknown,Unknown,Crunchbase News — Web3 Funding Sees Huge Drop As Big Rounds Dip,https://news.crunchbase.com/business/web3-funding-crypto-blockchain-a16z,⚠️ Crunchbase states exactly 5 rounds >$100M in Q3 2022. This is the 5th — identity unknown from public sources.
Uniswap Labs,Web3,DeFi / DEX,2022,Q4,165,Series B,Polychain Capital,USA,Crunchbase News — Funding To Web3 Startups Plummets 74% in Q4,https://news.crunchbase.com/web3/startup-funding-q4-drop,One of only 4 rounds >$100M in Q4 2022. Largest decentralized exchange by volume. Lead investor and exact date partially unconfirmed — verify against primary source.
Matter Labs (zkSync),Web3,Ethereum L2 / ZK-Rollup,2022,Q4,200,Series C,Undisclosed,Germany,CoinEx Medium — Six blockchain projects that raised over $100M in 2022,https://coinex.medium.com/six-blockchain-projects-that-raised-over-100-million-in-2022-will-they-be-the-ideal-investment-f27762cc998c,Developer of zkSync L2. zkSync 2.0 mainnet launched Oct 2022. One of only 4 rounds >$100M in Q4 2022.
Amber Group,Web3,Crypto Trading / Market Making,2022,Q4,300,Series C,Fenbushi Capital US,Singapore,Fortune — 10 biggest crypto funding rounds of 2022,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Likely a lifeline raise — firm had laid off 40% of staff and ended Chelsea FC sponsorship after FTX exposure. One of only 4 rounds >$100M in Q4 2022.
Mineplex,Web3,DeFi / Banking,2022,Q4,UNCONFIRMED,Unknown,Unknown,Russia,Crunchbase News — Funding To Web3 Startups Plummets 74% in Q4 (named only),https://news.crunchbase.com/web3/startup-funding-q4-drop,⚠️ Named by Crunchbase as one of 4 Q4 2022 rounds >$100M. Amount and details unconfirmed from any public source. Requires primary Crunchbase data.
Blockstream,Web3,Blockchain Infrastructure,2023,Q1,125,Convertible Note,Undisclosed,Canada,Crunchbase News — Web3 Funding Cratered In 2023,https://news.crunchbase.com/web3/funding-cratered-sbf-ai-crypto-bitcoin-eoy-2023,One of only 8 rounds >$100M in all of 2023. Provides Bitcoin mining and L2 technology solutions.
Islamic Coin,Web3,Shariah-Compliant Crypto,2023,Q2,200,Private,ABO Digital,Switzerland,Crunchbase News — Web3 Funding Plummets As AI Steals The Show,https://news.crunchbase.com/web3/crypto-blockchain-startup-vc-funding-falling-data,Largest single Web3 round in 2023. Shariah-compliant crypto asset targeting Islamic finance market.
LayerZero Labs,Web3,Cross-Chain Messaging / Infrastructure,2023,Q2,120,Series B,a16z crypto; Sequoia Capital,USA,TechCrunch — LayerZero raises $120M hitting $3B valuation,https://techcrunch.com/2023/04/04/blockchain-messaging-protocol-layerzero-raises-120m-hitting-3b-valuation,Valuation tripled to $3B. Connects 30+ blockchains. One of only 3 rounds >$100M in Q2 2023.
Tools For Humanity (Worldcoin),Web3,Web3 Identity / Biometrics,2023,Q2,115,Series C,Blockchain Capital,USA,Crunchbase News — Web3 Funding Plummets As AI Steals The Show,https://news.crunchbase.com/web3/crypto-blockchain-startup-vc-funding-falling-data,Co-founded by OpenAI's Sam Altman. Iris-scanning identity verification for crypto distribution. Also backed by a16z crypto and Bain Capital Crypto.
BitGo,Web3,Crypto Custody,2023,Q3,100,Undisclosed,Undisclosed,USA,Crunchbase News — Blockchain Doubles Down Ant Exits As Web3 Funding Continues Decline,https://news.crunchbase.com/fintech-ecommerce/crypto-ant-exits-web3-funding-decline-blockchain-funds,One of only 2 rounds >$100M in Q3 2023. Leading institutional crypto custody platform.
Zyber 365,Web3,Web3 Security,2023,Q3,100,Undisclosed,Undisclosed,India,Crunchbase News — Blockchain Doubles Down Ant Exits As Web3 Funding Continues Decline,https://news.crunchbase.com/fintech-ecommerce/crypto-ant-exits-web3-funding-decline-blockchain-funds,One of only 2 rounds >$100M in Q3 2023. Web3 security firm based in India.
Wormhole,Web3,Cross-Chain Protocol / Interoperability,2023,Q4,225,Token Round,Brevan Howard; Coinbase Ventures; Jump Trading,USA,Fortune — Most notable crypto fundraises of 2023,https://fortune.com/crypto/2023/12/25/most-notable-crypto-fundraises-2023,Entirely for yet-to-be-released tokens not equity. Valued at $2.5B. Formerly controlled by Jump Crypto. One of only 8 rounds >$100M in all of 2023.
Blockchain.com,Web3,Crypto Exchange / Wallet,2023,Q4,110,Series E,Kingsway Capital,UK,Crunchbase News — Web3 Funding Cratered In 2023,https://news.crunchbase.com/web3/funding-cratered-sbf-ai-crypto-bitcoin-eoy-2023,Raised at less than half of its 2022 $14B valuation. One of only 8 rounds >$100M in all of 2023.
Exohood Labs,Web3,AI + Blockchain / Quantum Computing,2024,Q1,112,Seed,Undisclosed,UK,Crunchbase News — Web3 Venture Funding Bounces Back Q1 2024,https://news.crunchbase.com/web3/venture-funding-bounces-back-q1-2024,"Merging AI, quantum computing, and blockchain. Massive $112M seed valued at $1.4B."
EigenLabs (EigenLayer),Web3,Ethereum Restaking,2024,Q1,100,Series B,Andreessen Horowitz (a16z),USA,Crunchbase News — Web3 Venture Funding Bounces Back Q1 2024 / Fortune,https://news.crunchbase.com/web3/venture-funding-bounces-back-q1-2024,Enables developers to restake Ether tokens for additional yield. One of the top 3 rounds in Q1 2024.
Monad Labs,Web3,L1 Blockchain,2024,Q2,225,Undisclosed,Paradigm,USA,Crunchbase News — Web3 Funding Holds Steady After Rocky 2023,https://news.crunchbase.com/web3/venture-funding-crypto-blockchain-q2-2024,EVM-compatible L1 blockchain competing with Solana. Largest Web3 round of Q2 2024.
Farcaster,Web3,Decentralized Social Network,2024,Q2,150,Series A,Paradigm,USA,Crunchbase News — Web3 Funding Holds Steady After Rocky 2023,https://news.crunchbase.com/web3/venture-funding-crypto-blockchain-q2-2024,Web3 social media protocol built on Ethereum. Valued at $1B post-round.
Berachain,Web3,DeFi Blockchain,2024,Q2,100,Undisclosed,BH Digital; Framework Ventures,USA,Crunchbase News — Web3 Funding Holds Steady After Rocky 2023,https://news.crunchbase.com/web3/venture-funding-crypto-blockchain-q2-2024,Ethereum-compatible blockchain for financial applications. Valued at $1.5B.
Infinite Reality,Web3,3D Immersive / Metaverse,2024,Q3,350,Undisclosed,Undisclosed multifamily office,USA,Crunchbase News — Excitement Builds Around Web3 And Crypto But VC Dollars Dont Follow (Q4 2024),https://news.crunchbase.com/web3/crypto-blockchain-vc-dollars-fall-q4-2024,Creator of 3D immersive environments. Valued at $5.1B. Largest Web3 round of 2024 per Crunchbase. Later raised $3B in early 2025 from undisclosed investor.
Blockstream,Web3,Blockchain Infrastructure,2024,Q4,210,Convertible Note,Undisclosed,Canada,Crunchbase News — Excitement Builds Around Web3 And Crypto But VC Dollars Dont Follow (Q4 2024),https://news.crunchbase.com/web3/crypto-blockchain-vc-dollars-fall-q4-2024,Debt instrument (convertible note). Provider of Bitcoin infrastructure and L2 solutions.
Public,Web3,Investing Platform (Stocks + Crypto),2024,Q4,135,Series D-2,Undisclosed,USA,Crunchbase News — Excitement Builds Around Web3 And Crypto But VC Dollars Dont Follow (Q4 2024),https://news.crunchbase.com/web3/crypto-blockchain-vc-dollars-fall-q4-2024,"Fractional investing platform covering stocks, ETFs, crypto and NFTs. $105M equity + $30M debt."
CryptoCoinMiner,Web3,Crypto Mining,2024,Q4,100,Venture Round,Undisclosed,UK,Crunchbase News — Excitement Builds Around Web3 And Crypto But VC Dollars Dont Follow (Q4 2024),https://news.crunchbase.com/web3/crypto-blockchain-vc-dollars-fall-q4-2024,Cryptocurrency cloud-mining platform.
Binance,Web3,Crypto Exchange,2025,Q1,2000,Strategic Investment,MGX (Abu Dhabi),Global (Cayman Islands HQ),Crunchbase News — Crypto And Blockchain Funding Sees Big Boost In Q1 Thanks To Binance / DL News Top 10 Raises 2025,https://news.crunchbase.com/web3/crypto-blockchain-funding-q1-2025-boost-binance,⚠️ MEGA-ROUND DISTORTION: Largest single investment in crypto company history. Accounts for ~41% of Q1 2025 total. Ex-Binance Q1 2025 = $1.8B. Part of Binance post-regulatory transformation.
Phantom,Web3,Crypto Wallet,2025,Q1,150,Undisclosed,Paradigm; Sequoia Capital,USA,Crunchbase News — Crypto And Blockchain Funding Sees Big Boost In Q1 Thanks To Binance,https://news.crunchbase.com/web3/crypto-blockchain-funding-q1-2025-boost-binance,Multi-chain crypto wallet. Valued at $3B post-round.
Revolut,Web3,Crypto / Neobank / FinTech,2025,Q3,1000,Undisclosed,Undisclosed,UK,The Defiant — Q3 2025 Galaxy VC Report / Multiple sources,https://thedefiant.io/news/tradfi-and-fintech/q3-crypto-venture-capital-report-galaxy,⚠️ CATEGORY NOTE: Revolut spans both FinTech and Crypto sectors. Included in Galaxy Q3 2025 crypto VC report as one of the 7 deals accounting for 49% of quarter's capital. Valued at $75B post-round.
Kraken,Web3,Crypto Exchange,2025,Q3,500,Pre-IPO,Undisclosed (Pre-IPO),USA,DL News — Top 10 crypto fundraising rounds in 2025,https://www.dlnews.com/articles/markets/top-10-crypto-fundraising-rounds-in-2025,Pre-IPO round for 2026 public offering. Amount confirmed at $600M in November 2025; earlier reports stated $500M. Listed at $600M per DL News final confirmation.
Figure Technology,Web3,Blockchain Lending / RWA Tokenization,2025,Q3,787,IPO,Duquesne Family Office; Multiple institutional,USA,DL News — Top 10 crypto fundraising rounds in 2025,https://www.dlnews.com/articles/markets/top-10-crypto-fundraising-rounds-in-2025,Built on Provenance Blockchain. Tokenizes home equity loans. IPO listing not traditional VC round.
Polymarket,Web3,Prediction Market / DeFi,2025,Q4,2000,Strategic Investment,Intercontinental Exchange (NYSE parent — ICE),USA,DL News — Top 10 crypto fundraising rounds in 2025,https://www.dlnews.com/articles/markets/top-10-crypto-fundraising-rounds-in-2025,Largest prediction market by volume. Strategic round at ~$8-9B valuation. Represents convergence of crypto and TradFi institutions.
Checkout.com,Fintech,Payments Processing,2022,Q1,1000,Series D,Undisclosed institutional,UK,Multiple — CB Insights / CoinTelegraph 2022 funding recap,https://cointelegraph.com/news/top-crypto-funding-stories-of-2022,Valued at $40B — one of the largest fintech valuations globally at the time. Payment gateway for online merchants.
Rippling,Fintech,HR / Payroll FinTech,2022,Q2,500,Series D,Greenoaks Capital,USA,Crunchbase News — The Week's 10 Biggest Funding Rounds (references May 2022 $500M + $11.25B valuation),https://news.crunchbase.com/venture/biggest-funding-rounds-ai-fintech-lambda,Valued at $11.25B. HR/payroll/finance platform for businesses. Emergency close after SVB crisis; same valuation as May 2022 Series D.
Klarna,Fintech,BNPL / Consumer Payments,2022,Q3,800,Undisclosed (Down-Round),Multiple existing investors,Sweden,TechCrunch / Multiple — Klarna down-round July 2022,https://techcrunch.com/2024/02/08/here-are-the-fintech-startups-that-could-go-public-in-2024/amp,⚠️ DOWN-ROUND: Valued at $6.7B — collapsed from peak $45.6B valuation. Largest private fintech down-round of the era. Reflects broader 2022 fintech valuation reset.
Ramp,Fintech,Expense Management / Corporate Card,2022,Q3,750,Series C,Goldman Sachs; Sequoia Capital,USA,TechCrunch / Crunchbase — Ramp $750M raise,https://news.crunchbase.com/venture/biggest-funding-rounds-fintech-one-liquid-ai,Raised $750M in debt and equity. Valued at $8.1B. Down-round to $5.8B in late 2022. Fast-growing corporate expense management platform.
Rapyd,Fintech,Payments Infrastructure,2022,UNCONFIRMED,300,Series E,Undisclosed,UK,VC Mapping — Fintech Investors 2026 (references Rapyd UK raising $500M — date unclear),https://vc-mapping.gilion.com/venture-capital-firms/fintech-investors,⚠️ DATE UNCERTAIN: Rapyd raised $500M in March 2025 (confirmed). A prior 2022 round of $300M has been referenced but exact date/amount not confirmed from primary source. Verify against primary before use.
Stripe,Fintech,Payments Processing,2023,Q1,6500,Series I,Multiple existing investors (Andreessen Horowitz; Founders Fund; Thrive Capital),USA,Crunchbase News — The Week's 10 Biggest Funding Rounds: Stripe Lands $6.5B,https://news.crunchbase.com/venture/biggest-rounds-stripe-adept-ai,⚠️ MEGA-ROUND DISTORTION: $6.5B = ~15% of all 2023 FinTech funding. Raised to cover employees' stock option tax bills. Valuation dropped from $95B peak to $50B. Largest single FinTech round of 2023 by far.
Ramp,Fintech,Expense Management / Corporate Card,2023,Q4,300,Series D (Down-Round),Thrive Capital; Sands Capital; General Catalyst; Founders Fund,USA,Crunchbase News — The Week's 10 Biggest Funding Rounds: Axiom Space,https://news.crunchbase.com/venture/biggest-funding-rounds-biotch-artificial-intelligence-space-axiom,⚠️ DOWN-ROUND: Valued at $5.8B — down 28% from prior $8.1B valuation. Broader trend of 2022-2023 fintech valuation correction.
One (Walmart FinTech),Fintech,Neobank / Payments,2024,Q4,300,Undisclosed,Walmart; Ribbit Capital,USA,Crunchbase News — The Week's Biggest Funding Rounds: Fintechs Big Week,https://news.crunchbase.com/venture/biggest-funding-rounds-fintech-one-liquid-ai,"Valued at $2.5B. Offers installment loans, debit cards, and payments services. Walmart's strategic push into financial services."
Zest AI,Fintech,AI Credit Underwriting,2024,Q4,200,Growth Investment,Insight Partners,USA,Crunchbase News — The Week's Biggest Funding Rounds: Fintechs Big Week,https://news.crunchbase.com/venture/biggest-funding-rounds-fintech-one-liquid-ai,AI-powered credit underwriting and fraud protection. Cumulative funding ~$358M.
Point,Fintech,Trading / Investment Platform,2025,UNCONFIRMED (2025),2500,Undisclosed,Undisclosed,USA,CB Insights — State of Fintech 2025 (via FintechNews.ch),https://fintechnews.ch/funding/fintech-secures-11-of-global-venture-funding-second-only-to-ai/81118,⚠️ LIMITED SOURCING: CB Insights named Point's $2.5B round as one of 2025's largest FinTech deals. Quarter and lead investor not confirmed in retrieved sources. Verify before use.
Rapyd,Fintech,Payments Infrastructure / FinTech,2025,Q1,500,Undisclosed,Undisclosed,UK,Crunchbase News — Fintech Funding Jumped 27% In 2025,https://news.crunchbase.com/fintech/funding-jumped-big-checks-ai-ye-2025,UK payments platform. Described as one of 2025's 'sizeable deals' per Crunchbase year-end 2025 article.
Plaid,Fintech,Banking API / Embedded Finance,2025,Q2,575,Common Stock Sale,Franklin Templeton,USA,CB Insights — State of Fintech Q2 2025 / TechCrunch,https://www.cbinsights.com/research/report/state-of-fintech-q225-report,API connecting bank accounts to financial applications. Valued at $6.1B post-round. Largest Q2 2025 FinTech deal per CB Insights.
Rippling,Fintech,HR / Payroll / FinTech,2025,Q2,450,Series G,Undisclosed,USA,Crunchbase News — Fintech Funding Jumped 27% In 2025,https://news.crunchbase.com/fintech/funding-jumped-big-checks-ai-ye-2025,"HR, payroll, and spend management platform. Series G at significant valuation uplift."
Airwallex,Fintech,Business Payments / Cross-Border,2025,Q2,300,Series F,Undisclosed,Australia / USA,Crunchbase News — The Weeks Biggest Funding Rounds: Fintech AI Airwallex,https://news.crunchbase.com/venture/biggest-funding-rounds-fintech-ai-airwallex,$150M equity + $150M secondary. Valued at $6.2B. International business payments platform.
Ramp,Fintech,Expense Management / Corporate Card,2025,Q3,500,Series E-2,Undisclosed,USA,Crunchbase News — Fintech Funding Jumped 27% In 2025,https://news.crunchbase.com/fintech/funding-jumped-big-checks-ai-ye-2025,Valued at $22.5B. Large late-stage raise reflecting strong corporate spend management demand.
Wealthsimple,Fintech,Wealth Management / Robo-Advisory,2025,Q3,538,Equity Funding,Dragoneer Investment Group; GIC,Canada,KPMG Pulse of Fintech H2 2025,https://assets.kpmg.com/content/dam/kpmgsites/xx/pdf/2026/02/pulse-of-fintech-h2-2025.pdf,Leading Canadian digital wealth management platform. Largest wealthtech deal of H2 2025 per KPMG.
Kalshi,Fintech,Event Derivatives / Prediction Markets (Regulated),2025,UNCONFIRMED (2025),1000,Series E,Undisclosed (Coatue Management reported as lead per WSJ sources),USA,CB Insights — State of Fintech 2025 (via FintechNews.ch) / DL News Q1 2026 article,https://fintechnews.ch/funding/fintech-secures-11-of-global-venture-funding-second-only-to-ai/81118,"CFTC-regulated prediction market. Weekly trading volumes up 1000%+ from 2024. Valued at $11B post-round ($22B by Q1 2026). ⚠️ Kalshi sits at the FinTech/Web3 boundary — CFTC-regulated event contracts, not blockchain-native."
FNZ,Fintech,Wealth Management Platform,2025,UNCONFIRMED (2025),650,Undisclosed,Undisclosed,New Zealand / UK,CB Insights — State of Fintech 2025 (via FintechNews.ch),https://fintechnews.ch/funding/fintech-secures-11-of-global-venture-funding-second-only-to-ai/81118,Global end-to-end wealth management platform serving asset managers and banks. Quarter not confirmed in retrieved sources.
Ramp,Fintech,Expense Management / Corporate Card,2025,Q4,300,Series E-3 / Growth,Lightspeed Venture Partners,USA,Crunchbase News — The Weeks 10 Biggest Funding Rounds: A Lot Of Really Big Deals,https://news.crunchbase.com/venture/biggest-funding-rounds-ai-fintech-lambda,Valued at $32B — up from $22.5B just months earlier. Ramp raised 3 times in 2025 ($500M + $300M + additional). Reflects exceptional corporate spend management demand.
SpaceX,Space,space; launch; satellite; Starlink; reusable rockets,2022,Q2,1680,Private Round,Multiple undisclosed institutional investors,USA,Crunchbase News — SpaceX Shooting For $750M Round (2023 article references June 2022 $1.68B raise),https://news.crunchbase.com/venture/spacex-unicorn-fundraise-2023-musk-a16z,Plus $250M additional in July 2022. Space Capital IQ identified SpaceX as key 2022 bright spot despite sector-wide 58% decline.
Anduril Industries,Defense,defense tech; autonomous weapons; AI; drones; undersea vehicles; C4ISR; dual-use,2022,Q4,1480,Series E,Founders Fund (co-lead); Valor Equity Partners; Lux Capital; 8VC; Marlinspike,USA,TechCrunch — VC Is Opening The Gates For Defense Tech / Crunchbase News,https://techcrunch.com/2023/09/30/vc-defense-tech/,"This single round = 57% of the entire 2022 Crunchbase defense tech annual total ($2.6B). ⚠️ Anduril sits at Space/Defense intersection: makes autonomous aircraft (Fury), drones, and undersea vehicles."
Shield AI,Defense,defense tech; AI pilots; autonomous drones; C4ISR; autonomy,2022,Q4,225,Series E,Riot Ventures; US Innovative Technology Fund (Thomas Tull),USA,TechCrunch — Private Investment In Space Dropped 58% (Jan 2023),https://techcrunch.com/2023/01/19/private-investment-in-space-dropped-58-last-year-even-with-spacex-anduril-monster-raises,"Shield AI Q4 2022 Series E. Later raised $200M Series F in October 2023 + $300M debt addition, then $240M F-1 in March 2025."
Rebellion Defense,Defense,defense tech; AI software; DoD; national security; government software,2022,Q4,150,Series C,8VC (Joe Lonsdale),USA,Defense Tech Investors — Ellty 2025 (references $150M Series C 2022),https://www.ellty.com/blog/defense-tech-investors,Exact close date Q4 2022 — verify primary source for exact month.
