record_type,year,quarter,company,amount_usd_millions,deal_count,date,subsector,country,lead_investor,round_type,source_name,source_url,notes
mega_deal,2022,Q1,LayerZero Labs,135,,March 2022,Cross-Chain Messaging / Infrastructure,USA,a16z crypto; Sequoia Capital; FTX Ventures,Series A,TechCrunch — LayerZero raises $120M (references prior $135M March 2022 raise),https://techcrunch.com/2023/04/04/blockchain-messaging-protocol-layerzero-raises-120m-hitting-3b-valuation,Cross-chain messaging connecting 30+ blockchains. Prior $135M round at $1B valuation.
mega_deal,2022,Q1,Blockchain.com,300,,March 2022,Crypto Exchange / Wallet,UK,Lightspeed Venture Partners,Series D,Crunchbase News — Web3 Funding Cratered In 2023 (references $14B March 2022 valuation),https://news.crunchbase.com/web3/funding-cratered-sbf-ai-crypto-bitcoin-eoy-2023,Valued at $14B. Later raised Series E at <50% of this valuation in 2023.
mega_deal,2022,Q1,Optimism (OP Labs),150,,March 2022,Ethereum L2 / Scaling,USA,a16z crypto; Paradigm,Series B,CoinTelegraph — Top crypto funding stories of 2022,https://cointelegraph.com/news/top-crypto-funding-stories-of-2022,Ethereum optimistic rollup L2. Among the most significant L2 fundraises in Q1 2022.
mega_deal,2022,Q1,ConsenSys,450,,March 2022,Ethereum Ecosystem / Web3 Dev,USA,ParaFi Capital,Series D,Fortune — 10 biggest crypto funding rounds of 2022 / Crunchbase News,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Valued at $7B. Developer of MetaMask (30M+ MAUs). 4 months after $200M Series C.
mega_deal,2022,Q1,Yuga Labs,450,,March 2022,NFT / Web3,USA,a16z crypto,Seed,Fortune — 10 biggest crypto funding rounds of 2022,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Valued at $4B. Creator of Bored Ape Yacht Club. Under SEC investigation for unregistered securities.
mega_deal,2022,Q1,Aptos Labs,200,,March 2022,L1 Blockchain,USA,Tiger Global; Coinbase Ventures; FTX Ventures,Private Round,Crunchbase News — Web3 Startup Aptos Locks Up $150M (references prior $200M),https://news.crunchbase.com/web3/web3-startup-venture-unicorn-aptos,First of two Aptos raises in 2022. Then raised $150M Series A in July 2022.
mega_deal,2022,Q1,Immutable,200,,March 2022,NFT / Gaming Infrastructure,Australia,Temasek,Series C,CryptoSlate / PatentPC / BlockchainGamer,https://cryptoslate.com/web3-startups-raised-7b-funding-in-2022-with-gaming-accounting-for-62,Builder of Immutable X — L2 NFT platform with zero gas fees. Gaming studio expansion.
mega_deal,2022,Q2,Circle,400,,April 2022,Stablecoin / Payments,USA,BlackRock; Fidelity Management; Marshall Wace,Private Equity,Fortune — 10 biggest crypto funding rounds of 2022 / Crunchbase News,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,USDC issuer. Planned SPAC at $9B valuation fell through December 2022. Traditional finance investors.
mega_deal,2022,Q2,NEAR Protocol,350,,April 2022,L1 Blockchain,USA,Tiger Global; FTX Ventures,Ecosystem Fund,CoinTelegraph — Top crypto funding stories of 2022,https://cointelegraph.com/news/top-crypto-funding-stories-of-2022,Second large round in H1 2022. Earmarked for ecosystem growth and regional hub expansion.
mega_deal,2022,Q2,Ava Labs,350,,April 2022,L1 Blockchain (Avalanche),USA,Polychain Capital,Undisclosed,CoinTelegraph — Top crypto funding stories of 2022,https://cointelegraph.com/news/top-crypto-funding-stories-of-2022,Valued at $5.25B. Avalanche was top-5 DeFi blockchain by TVL at time of raise.
mega_deal,2022,Q2,Sky Mavis,150,,April 2022,Gaming / NFT (Axie Infinity),Vietnam,Binance,Emergency Funding,TechCrunch — Decentralized web3 startups find out no safety net,https://techcrunch.com/2022/04/21/decentralized-web3-startups-find-out-the-hard-way-theres-no-safety-net,Emergency raise to reimburse users after $625M Ronin bridge hack by Lazarus Group (North Korea).
mega_deal,2022,Q2,Ledger,380,,April 2022,Crypto Hardware Wallet,France,Sequoia; 10T Holdings,Series C,Crunchbase News — Web3 Funding Drops Q1 2023,https://news.crunchbase.com/web3/vc-backed-funding-drops-q1-2023,Leading hardware wallet manufacturer. Added $108M extension at same $1.4B valuation later in 2022.
mega_deal,2022,Q2,Chainalysis,170,,May 2022,Blockchain Analytics,USA,GIC (Singapore sovereign wealth fund),Series F,TechCrunch — Chainalysis raises $170M at $8.6B valuation,https://techcrunch.com/2022/05/10/crypto-forensics-startup-chainalysis-raises-170m-at-8-6b-valuation,Valuation doubled to $8.6B. Provides blockchain compliance and investigation software to governments and enterprises.
mega_deal,2022,Q2,StarkWare,100,,May 2022,Ethereum L2 / ZK-Rollup,Israel,Multiple undisclosed,Series D,CoinTelegraph — Crypto Biz Smart Money May 2022,https://cointelegraph.com/news/crypto-biz-smart-money-is-betting-big-on-web3-layer-2-may-19-25,Developer of StarkEx and StarkNet ZK-rollup L2 solutions.
mega_deal,2022,Q2,Improbable,150,,May 2022,Metaverse / Gaming Infrastructure,UK,Undisclosed,Series B,BlockchainGamer — Web3 projects fundraising in 2022,https://www.blockchaingamer.biz/news/21303/web3-projects-fundraising-in-2022,Developer of interoperable Web3 metaverse infrastructure.
mega_deal,2022,Q2,Magic Eden,130,,June 2022,NFT Marketplace,USA,Paradigm,Series B,CoinTelegraph — Top crypto funding stories of 2022,https://cointelegraph.com/news/top-crypto-funding-stories-of-2022,Leading Solana-based NFT marketplace. Valued at $1.6B post-round.
mega_deal,2022,Q3,Aptos Labs,150,,July 2022,L1 Blockchain,USA,FTX Ventures; Jump Crypto,Series A,Crunchbase News — Web3 Startup Aptos Locks Up $150M From FTX Ventures,https://news.crunchbase.com/web3/web3-startup-venture-unicorn-aptos,Valued at $2B+. One of only 5 rounds >$100M in Q3 2022. ⚠️ Lead investor FTX Ventures collapsed Nov 2022.
mega_deal,2022,Q3,Limit Break,200,,August 2022,Gaming / NFT,USA,Paradigm; Standard Crypto; Josh Buckley,Undisclosed,CoinEx Medium — Six blockchain projects that raised over $100M in 2022,https://coinex.medium.com/six-blockchain-projects-that-raised-over-100-million-in-2022-will-they-be-the-ideal-investment-f27762cc998c,Parent company of DigiDaigaku NFT. Free-to-own gaming model. One of only 5 rounds >$100M in Q3 2022.
mega_deal,2022,Q3,Mysten Labs,300,,September 2022,L1 Blockchain (Sui),USA,FTX Ventures; Jump Crypto,Series B,Fortune — 10 biggest crypto funding rounds of 2022,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Creator of Sui L1 blockchain. Founded by ex-Meta engineers. ⚠️ Lead investor FTX Ventures collapsed Nov 2022. One of only 5 rounds >$100M in Q3 2022.
mega_deal,2022,Q3,Unknown (Q3 Deal #4),UNCONFIRMED,,Q3 2022,Unknown,Unknown,Unknown,Unknown,Crunchbase News — Web3 Funding Sees Huge Drop As Big Rounds Dip,https://news.crunchbase.com/business/web3-funding-crypto-blockchain-a16z,⚠️ Crunchbase states exactly 5 rounds >$100M in Q3 2022. This is the 4th — identity unknown from public sources.
mega_deal,2022,Q3,Unknown (Q3 Deal #5),UNCONFIRMED,,Q3 2022,Unknown,Unknown,Unknown,Unknown,Crunchbase News — Web3 Funding Sees Huge Drop As Big Rounds Dip,https://news.crunchbase.com/business/web3-funding-crypto-blockchain-a16z,⚠️ Crunchbase states exactly 5 rounds >$100M in Q3 2022. This is the 5th — identity unknown from public sources.
mega_deal,2022,Q4,Uniswap Labs,165,,October 2022,DeFi / DEX,USA,Polychain Capital,Series B,Crunchbase News — Funding To Web3 Startups Plummets 74% in Q4,https://news.crunchbase.com/web3/startup-funding-q4-drop,One of only 4 rounds >$100M in Q4 2022. Largest decentralized exchange by volume. Lead investor and exact date partially unconfirmed — verify against primary source.
mega_deal,2022,Q4,Matter Labs (zkSync),200,,November 2022,Ethereum L2 / ZK-Rollup,Germany,Undisclosed,Series C,CoinEx Medium — Six blockchain projects that raised over $100M in 2022,https://coinex.medium.com/six-blockchain-projects-that-raised-over-100-million-in-2022-will-they-be-the-ideal-investment-f27762cc998c,Developer of zkSync L2. zkSync 2.0 mainnet launched Oct 2022. One of only 4 rounds >$100M in Q4 2022.
mega_deal,2022,Q4,Amber Group,300,,December 2022,Crypto Trading / Market Making,Singapore,Fenbushi Capital US,Series C,Fortune — 10 biggest crypto funding rounds of 2022,https://fortune.com/crypto/2022/12/29/10-biggest-crypto-funding-rounds-2022,Likely a lifeline raise — firm had laid off 40% of staff and ended Chelsea FC sponsorship after FTX exposure. One of only 4 rounds >$100M in Q4 2022.
mega_deal,2022,Q4,Mineplex,UNCONFIRMED,,Q4 2022,DeFi / Banking,Russia,Unknown,Unknown,Crunchbase News — Funding To Web3 Startups Plummets 74% in Q4 (named only),https://news.crunchbase.com/web3/startup-funding-q4-drop,⚠️ Named by Crunchbase as one of 4 Q4 2022 rounds >$100M. Amount and details unconfirmed from any public source. Requires primary Crunchbase data.
mega_deal,2023,Q1,Blockstream,125,,Q1 2023,Blockchain Infrastructure,Canada,Undisclosed,Convertible Note,Crunchbase News — Web3 Funding Cratered In 2023,https://news.crunchbase.com/web3/funding-cratered-sbf-ai-crypto-bitcoin-eoy-2023,One of only 8 rounds >$100M in all of 2023. Provides Bitcoin mining and L2 technology solutions.
mega_deal,2023,Q2,Islamic Coin,200,,June 2023,Shariah-Compliant Crypto,Switzerland,ABO Digital,Private,Crunchbase News — Web3 Funding Plummets As AI Steals The Show,https://news.crunchbase.com/web3/crypto-blockchain-startup-vc-funding-falling-data,Largest single Web3 round in 2023. Shariah-compliant crypto asset targeting Islamic finance market.
mega_deal,2023,Q2,LayerZero Labs,120,,April 2023,Cross-Chain Messaging / Infrastructure,USA,a16z crypto; Sequoia Capital,Series B,TechCrunch — LayerZero raises $120M hitting $3B valuation,https://techcrunch.com/2023/04/04/blockchain-messaging-protocol-layerzero-raises-120m-hitting-3b-valuation,Valuation tripled to $3B. Connects 30+ blockchains. One of only 3 rounds >$100M in Q2 2023.
mega_deal,2023,Q2,Tools For Humanity (Worldcoin),115,,May 2023,Web3 Identity / Biometrics,USA,Blockchain Capital,Series C,Crunchbase News — Web3 Funding Plummets As AI Steals The Show,https://news.crunchbase.com/web3/crypto-blockchain-startup-vc-funding-falling-data,Co-founded by OpenAI's Sam Altman. Iris-scanning identity verification for crypto distribution. Also backed by a16z crypto and Bain Capital Crypto.
mega_deal,2023,Q3,BitGo,100,,Q3 2023,Crypto Custody,USA,Undisclosed,Undisclosed,Crunchbase News — Blockchain Doubles Down Ant Exits As Web3 Funding Continues Decline,https://news.crunchbase.com/fintech-ecommerce/crypto-ant-exits-web3-funding-decline-blockchain-funds,One of only 2 rounds >$100M in Q3 2023. Leading institutional crypto custody platform.
mega_deal,2023,Q3,Zyber 365,100,,Q3 2023,Web3 Security,India,Undisclosed,Undisclosed,Crunchbase News — Blockchain Doubles Down Ant Exits As Web3 Funding Continues Decline,https://news.crunchbase.com/fintech-ecommerce/crypto-ant-exits-web3-funding-decline-blockchain-funds,One of only 2 rounds >$100M in Q3 2023. Web3 security firm based in India.
mega_deal,2023,Q4,Wormhole,225,,Q4 2023,Cross-Chain Protocol / Interoperability,USA,Brevan Howard; Coinbase Ventures; Jump Trading,Token Round,Fortune — Most notable crypto fundraises of 2023,https://fortune.com/crypto/2023/12/25/most-notable-crypto-fundraises-2023,Entirely for yet-to-be-released tokens not equity. Valued at $2.5B. Formerly controlled by Jump Crypto. One of only 8 rounds >$100M in all of 2023.
mega_deal,2023,Q4,Blockchain.com,110,,Q4 2023,Crypto Exchange / Wallet,UK,Kingsway Capital,Series E,Crunchbase News — Web3 Funding Cratered In 2023,https://news.crunchbase.com/web3/funding-cratered-sbf-ai-crypto-bitcoin-eoy-2023,Raised at less than half of its 2022 $14B valuation. One of only 8 rounds >$100M in all of 2023.
mega_deal,2024,Q1,Exohood Labs,112,,Q1 2024,AI + Blockchain / Quantum Computing,UK,Undisclosed,Seed,Crunchbase News — Web3 Venture Funding Bounces Back Q1 2024,https://news.crunchbase.com/web3/venture-funding-bounces-back-q1-2024,"Merging AI, quantum computing, and blockchain. Massive $112M seed valued at $1.4B."
mega_deal,2024,Q1,EigenLabs (EigenLayer),100,,Q1 2024,Ethereum Restaking,USA,Andreessen Horowitz (a16z),Series B,Crunchbase News — Web3 Venture Funding Bounces Back Q1 2024 / Fortune,https://news.crunchbase.com/web3/venture-funding-bounces-back-q1-2024,Enables developers to restake Ether tokens for additional yield. One of the top 3 rounds in Q1 2024.
mega_deal,2024,Q2,Monad Labs,225,,April 2024,L1 Blockchain,USA,Paradigm,Undisclosed,Crunchbase News — Web3 Funding Holds Steady After Rocky 2023,https://news.crunchbase.com/web3/venture-funding-crypto-blockchain-q2-2024,EVM-compatible L1 blockchain competing with Solana. Largest Web3 round of Q2 2024.
mega_deal,2024,Q2,Farcaster,150,,May 2024,Decentralized Social Network,USA,Paradigm,Series A,Crunchbase News — Web3 Funding Holds Steady After Rocky 2023,https://news.crunchbase.com/web3/venture-funding-crypto-blockchain-q2-2024,Web3 social media protocol built on Ethereum. Valued at $1B post-round.
mega_deal,2024,Q2,Berachain,100,,Q2 2024,DeFi Blockchain,USA,BH Digital; Framework Ventures,Undisclosed,Crunchbase News — Web3 Funding Holds Steady After Rocky 2023,https://news.crunchbase.com/web3/venture-funding-crypto-blockchain-q2-2024,Ethereum-compatible blockchain for financial applications. Valued at $1.5B.
mega_deal,2024,Q3,Infinite Reality,350,,July 2024,3D Immersive / Metaverse,USA,Undisclosed multifamily office,Undisclosed,Crunchbase News — Excitement Builds Around Web3 And Crypto But VC Dollars Dont Follow (Q4 2024),https://news.crunchbase.com/web3/crypto-blockchain-vc-dollars-fall-q4-2024,Creator of 3D immersive environments. Valued at $5.1B. Largest Web3 round of 2024 per Crunchbase. Later raised $3B in early 2025 from undisclosed investor.
mega_deal,2024,Q4,Blockstream,210,,October 2024,Blockchain Infrastructure,Canada,Undisclosed,Convertible Note,Crunchbase News — Excitement Builds Around Web3 And Crypto But VC Dollars Dont Follow (Q4 2024),https://news.crunchbase.com/web3/crypto-blockchain-vc-dollars-fall-q4-2024,Debt instrument (convertible note). Provider of Bitcoin infrastructure and L2 solutions.
mega_deal,2024,Q4,Public,135,,December 2024,Investing Platform (Stocks + Crypto),USA,Undisclosed,Series D-2,Crunchbase News — Excitement Builds Around Web3 And Crypto But VC Dollars Dont Follow (Q4 2024),https://news.crunchbase.com/web3/crypto-blockchain-vc-dollars-fall-q4-2024,"Fractional investing platform covering stocks, ETFs, crypto and NFTs. $105M equity + $30M debt."
mega_deal,2024,Q4,CryptoCoinMiner,100,,November 2024,Crypto Mining,UK,Undisclosed,Venture Round,Crunchbase News — Excitement Builds Around Web3 And Crypto But VC Dollars Dont Follow (Q4 2024),https://news.crunchbase.com/web3/crypto-blockchain-vc-dollars-fall-q4-2024,Cryptocurrency cloud-mining platform.
mega_deal,2025,Q1,Binance,2000,,March 2025,Crypto Exchange,Global (Cayman Islands HQ),MGX (Abu Dhabi),Strategic Investment,Crunchbase News — Crypto And Blockchain Funding Sees Big Boost In Q1 Thanks To Binance / DL News Top 10 Raises 2025,https://news.crunchbase.com/web3/crypto-blockchain-funding-q1-2025-boost-binance,⚠️ MEGA-ROUND DISTORTION: Largest single investment in crypto company history. Accounts for ~41% of Q1 2025 total. Ex-Binance Q1 2025 = $1.8B. Part of Binance post-regulatory transformation.
mega_deal,2025,Q1,Phantom,150,,March 2025,Crypto Wallet,USA,Paradigm; Sequoia Capital,Undisclosed,Crunchbase News — Crypto And Blockchain Funding Sees Big Boost In Q1 Thanks To Binance,https://news.crunchbase.com/web3/crypto-blockchain-funding-q1-2025-boost-binance,Multi-chain crypto wallet. Valued at $3B post-round.
mega_deal,2025,Q3,Revolut,1000,,Q3 2025,Crypto / Neobank / FinTech,UK,Undisclosed,Undisclosed,The Defiant — Q3 2025 Galaxy VC Report / Multiple sources,https://thedefiant.io/news/tradfi-and-fintech/q3-crypto-venture-capital-report-galaxy,⚠️ CATEGORY NOTE: Revolut spans both FinTech and Crypto sectors. Included in Galaxy Q3 2025 crypto VC report as one of the 7 deals accounting for 49% of quarter's capital. Valued at $75B post-round.
mega_deal,2025,Q3,Kraken,500,,September 2025,Crypto Exchange,USA,Undisclosed (Pre-IPO),Pre-IPO,DL News — Top 10 crypto fundraising rounds in 2025,https://www.dlnews.com/articles/markets/top-10-crypto-fundraising-rounds-in-2025,Pre-IPO round for 2026 public offering. Amount confirmed at $600M in November 2025; earlier reports stated $500M. Listed at $600M per DL News final confirmation.
mega_deal,2025,Q3,Figure Technology,787,,September 2025,Blockchain Lending / RWA Tokenization,USA,Duquesne Family Office; Multiple institutional,IPO,DL News — Top 10 crypto fundraising rounds in 2025,https://www.dlnews.com/articles/markets/top-10-crypto-fundraising-rounds-in-2025,Built on Provenance Blockchain. Tokenizes home equity loans. IPO listing not traditional VC round.
mega_deal,2025,Q4,Polymarket,2000,,October 2025,Prediction Market / DeFi,USA,Intercontinental Exchange (NYSE parent — ICE),Strategic Investment,DL News — Top 10 crypto fundraising rounds in 2025,https://www.dlnews.com/articles/markets/top-10-crypto-fundraising-rounds-in-2025,Largest prediction market by volume. Strategic round at ~$8-9B valuation. Represents convergence of crypto and TradFi institutions.
