record_type,year,quarter,company,amount_usd_millions,deal_count,date,subsector,country,lead_investor,round_type,source_name,source_url,notes
mega_deal,2023,Q3,Redwood Materials,1000,,August 2023,Battery Recycling / Circular EV Supply Chain,USA,Goldman Sachs Asset Management; Capricorn Technology Impact Fund; T. Rowe Price,Series D,Crunchbase News — The 10 Biggest Rounds Of August: Redwood And Peregrine,https://news.crunchbase.com/venture/biggest-rounds-august-2023-redwood-peregrine/,'Battery materials firm Redwood Materials followed suit with a massive $1 billion-plus in new funding. The round was co-led by Goldman Sachs Asset Management.' Also received $2B conditional DOE loan commitment (not counted in VC total). Largest US cleantech equity round of 2023.
mega_deal,2023,Q3,Peregrine Energy,700,,August 2023,Energy / Distributed Energy,USA,Undisclosed,Undisclosed,Crunchbase News — The 10 Biggest Rounds Of August: Redwood And Peregrine,https://news.crunchbase.com/venture/biggest-rounds-august-2023-redwood-peregrine/,'Peregrine Energy raised $700M' in August 2023 — appeared #2 in Crunchbase's biggest rounds of August 2023 issue. Exact details of round type and investors not confirmed in retrieved sources.
mega_deal,2023,Q4,Ascend Elements,460,,September 2023,Battery Materials / Li-ion Recycling,USA,Decarbonization Partners (BlackRock + Temasek JV),Series D,Crunchbase News — Global Sustainability-Focused Funding Was Pretty Flat In 2023,https://news.crunchbase.com/clean-tech-and-energy/global-sustainability-funding-eoy-2023,"'Ascend Elements, a Massachusetts-based manufacturer of battery materials using elements reclaimed from spent lithium-ion batteries, secured $460 million in Series D funding.' One of the battery recycling deals that dominated 2023 cleantech."
mega_deal,2024,Q1,Northvolt,5000,,January 2024,Battery Manufacturing,Sweden,Undisclosed (project finance lenders),Project Finance (Debt),Crunchbase News — Sustainability-Focused Startup Equity Funding Fell In H1 2024 (Aug 2024),https://news.crunchbase.com/clean-tech-and-energy/clean-tech-energy-cleantech-startup-funding-venture-northvolt-sila/,"'Northvolt, a sustainability-focused battery manufacturer, landed $5 billion in project financing to expand its facilities' in January 2024. ⚠️ DEBT INSTRUMENT — project finance not equity. ⚠️ NORTHVOLT BANKRUPT: Filed Chapter 11 November 2024. This $5B project financing is one of the largest single climate finance deals of 2024 but ended in failure within 10 months."
mega_deal,2024,Q1,H2 Green Steel,4600,,January 2024,Green Hydrogen / Green Steel Manufacturing,Sweden,Goldman Sachs; HSBC; others,Debt Financing,Crunchbase News — Sustainability-Focused Startup Equity Funding Fell In H1 2024,https://news.crunchbase.com/clean-tech-and-energy/clean-tech-energy-cleantech-startup-funding-venture-northvolt-sila/,'H2 Green Steel closed on $4.6 billion in debt financing to go toward what it described as the world's first large-scale green steel plant.' January 2024. ⚠️ DEBT INSTRUMENT — project finance not equity VC. Uses green hydrogen as energy source for fossil-fuel-free steel production.
mega_deal,2024,Q3,Twelve,645,,September 2024,Carbon Transformation / E-fuels,USA,TPG Rise Climate Fund,Series C + Project Financing,Crunchbase News — Carbon Capture Storage And Transformation Is Still A Popular Funding Theme (Sep 2024),https://news.crunchbase.com/clean-tech-and-energy/carbon-capture-storage-transformation-funding-twelve-2024/,"'By far the largest chunk of capital went to Twelve, a carbon transformation startup. $200M Series C + $400M project financing + $45M credit facility with TPG Rise Climate Fund as lead.' Converts captured CO2 into chemicals, fuels and materials. Berkeley CA. Founded 2015."
mega_deal,2024,Q3,X-energy,500,,Q3 2024,Advanced Nuclear / Small Modular Reactor (SMR),USA,Amazon (Amazon Web Services),Strategic Investment,Crunchbase News — The Biggest Non-AI Related Rounds Of 2024,https://news.crunchbase.com/venture/biggest-non-ai-related-rounds-2024-epic-generate/,"'Rockville, Maryland-based company is developing advanced small modular nuclear reactors for clean energy generation. Amazon and X-energy are collaborating to bring more than 5 gigawatts of new power projects online across the United States by 2039.' Amazon strategic investment to power data centers with clean nuclear energy."
mega_deal,2024,Q4,Heirloom Carbon,150,,December 2024,Direct Air Capture / Carbon Removal,USA,Lowercarbon Capital; Energy Impact Partners,Series B,Crunchbase News — 2024 Funding Pacific Fusion Intersect Power (Dec 2024),https://news.crunchbase.com/clean-tech-and-energy/2024-funding-pacific-fusion-intersect-power/,'Lowercarbon Capital co-led investment in this month's $150 million Series B for direct air capture company Heirloom.' Uses limestone to capture CO2 from the air. One of the largest direct air capture equity raises of 2024.
mega_deal,2025,Q2,Electra,186,,Q2 2025,Clean Iron / Green Steelmaking,USA,Undisclosed,Series B,Crunchbase News — Investment In Startups Tied To Clean Energy And Sustainability Is On Track For A Sharp Decline (early 2025),https://news.crunchbase.com/clean-tech-and-energy/sustainability-funding-falling-2025/,'Electra [secured a] $186 million Series B.' Boulder-based company produces clean iron using renewable electricity. Part of the emerging green materials wave.
mega_deal,2025,Q2,Base Power,200,,Q2 2025,Residential Energy Storage,USA,Addition,Series B,Crunchbase News — Investment In Startups Tied To Clean Energy And Sustainability Is On Track For A Sharp Decline,https://news.crunchbase.com/clean-tech-and-energy/sustainability-funding-falling-2025/,"'The largest [2025 cleantech round] was a $200 million Series B for Base Power, an Austin, Texas-based company providing residential energy storage and service with an eye to more effectively harnessing renewable power sources.' Led by Addition."
mega_deal,2025,Q2,Chestnut Carbon,160,,Q2 2025,Carbon Removal / Reforestation,USA,Undisclosed,Series B,Crunchbase News — Investment In Startups Tied To Clean Energy And Sustainability Is On Track For A Sharp Decline,https://news.crunchbase.com/clean-tech-and-energy/sustainability-funding-falling-2025/,'Chestnut Carbon [secured a] $160 million [Series B]. [Chestnut] develops forests on marginal crop and pasture lands' for carbon removal. Nature-based carbon solutions.
