record_type,funding_type,sector_unified,year,quarter,company_name,amount_usd_millions,deal_count,date_announced,round_type,lead_investors,agency,program_name,original_category_tags,description,country,source_database,source_name,source_url,notes
annual_total,Government Grant,Space,2024,Q2 FY2024 (Phase I only),299 companies (aggregated),45,299,June 7 2024,,,NASA,SBIR Phase I,SBIR; NASA; Phase I; space tech; R&D grants,"NASA selected 299 proposals for Phase I awards. Each award = $150,000. Total = $44.85M. ~32% first-time NASA SBIR recipients. Separate from Phase II (larger awards) and Phase III (operational funding).",,NASA.gov,NASA SBIR Phase I Program Page,https://www.nasa.gov/sbir_sttr/phase-i/,NASA Phase I is feasibility funding only ($150K each). Phase II (prototype) = up to $750K–$3M. Phase III (operational) = outside SBIR budget. Total NASA SBIR/STTR program is ~$140-180M/year across all phases. For the full company-level picture per the plan doc: scrape sbir.gov/awards filtered by agency=NASA.
annual_total,Government Grant,Space/Defense,2025,Full Year FY2025,,UNCONFIRMED,UNCONFIRMED,FY2025,,,Department of Defense / NASA / DARPA,SBIR/STTR — All Agencies,SBIR; STTR; government grant; 2025,"FY2025 SBIR/STTR data not confirmed. Federal grant environment disrupted in 2025 by mass HHS/NIH grant terminations ($1.9B+), but DoD SBIR stated to 'remain steady' under Continuing Resolution through Sept 30, 2025.",,SBIR.gov (required),NC SBTDC — SBIR/STTR Program 2025 News and Updates,https://sbtdc.org/blog/sbir-sttr-program-2025-news-and-updates,⚠️ PLACEHOLDER ROW: AFWERX temporarily took down then reposted solicitations in 2025. Actual FY2025 total requires SBIR.gov/USAspending.gov data pull per plan document. Do not use until primary source verified.
annual_total,Venture Debt,Space/Defense,2022-2025,All Years,,NOT SYSTEMATICALLY TRACKED,UNCONFIRMED,2022-2025,,,,,venture debt; debt financing; space; defense,Venture debt in space/defense is not systematically tracked in public free sources. Bryce Tech notes 'inconsistent activity in debt financing' in space. Requires PitchBook API with debt-round filter per plan document.,,Bryce Tech (placeholder),Bryce Tech Start-Up Space 2025,https://brycetech.com/reports/report-documents/start_up_space_2025/BryceTech_Start_Up_Space_2025.pdf,"Per the plan document: venture debt extraction requires PitchBook API filtered to 'Venture Debt' round type + sector keywords (Space, Defense, Aerospace, Government Contracting). Individual examples captured in mega_deal rows below."
mega_deal,Growth VC,Space,2022,Q2,SpaceX,1680,,June 2022,Private Round,Multiple undisclosed institutional investors,,,space; launch; satellite; Starlink; reusable rockets,"SpaceX raised $1.68B in June 2022 at $125B+ valuation, followed by $250M additional in July 2022. Used for Starlink expansion and Starship development. Second-largest annual raise in SpaceX history at that time.",USA,Crunchbase,Crunchbase News — SpaceX Shooting For $750M Round (2023 article references June 2022 $1.68B raise),https://news.crunchbase.com/venture/spacex-unicorn-fundraise-2023-musk-a16z,Plus $250M additional in July 2022. Space Capital IQ identified SpaceX as key 2022 bright spot despite sector-wide 58% decline.
mega_deal,Growth VC,Defense,2022,Q4,Anduril Industries,1480,,December 2022,Series E,Founders Fund (co-lead); Valor Equity Partners; Lux Capital; 8VC; Marlinspike,,,defense tech; autonomous weapons; AI; drones; undersea vehicles; C4ISR; dual-use,"Anduril's Series E — the fourth-largest round raised by a US startup in 2022. Valuation set at $8.5B. Catalyzed the defense VC wave. Products include Lattice AI platform, Fury autonomous fighter jet, autonomous undersea vehicles.",USA,Crunchbase / TechCrunch,TechCrunch — VC Is Opening The Gates For Defense Tech / Crunchbase News,https://techcrunch.com/2023/09/30/vc-defense-tech/,"This single round = 57% of the entire 2022 Crunchbase defense tech annual total ($2.6B). ⚠️ Anduril sits at Space/Defense intersection: makes autonomous aircraft (Fury), drones, and undersea vehicles."
mega_deal,Growth VC,Defense,2022,Q4,Shield AI,225,,October 2022,Series E,Riot Ventures; US Innovative Technology Fund (Thomas Tull),,,defense tech; AI pilots; autonomous drones; C4ISR; autonomy,AI-powered autonomous drone pilot system. Hivemind software enables aircraft to operate autonomously in high-threat environments without GPS or communications. Valued at $2.7B post-round.,USA,Crunchbase,TechCrunch — Private Investment In Space Dropped 58% (Jan 2023),https://techcrunch.com/2023/01/19/private-investment-in-space-dropped-58-last-year-even-with-spacex-anduril-monster-raises,"Shield AI Q4 2022 Series E. Later raised $200M Series F in October 2023 + $300M debt addition, then $240M F-1 in March 2025."
mega_deal,Growth VC,Defense,2022,Q4,Rebellion Defense,150,,Q4 2022,Series C,8VC (Joe Lonsdale),,,defense tech; AI software; DoD; national security; government software,AI software platform for national security and DoD decision-making. Builds data analytics and AI tools for intelligence and defense agencies.,USA,Defense Tech Investors / Crunchbase,Defense Tech Investors — Ellty 2025 (references $150M Series C 2022),https://www.ellty.com/blog/defense-tech-investors,Exact close date Q4 2022 — verify primary source for exact month.
mega_deal,Growth VC,Space,2023,Q3,Axiom Space,350,,Q3 2023,Series C (extension implied),Undisclosed,,,space; commercial space station; ISS; orbital; crewed spaceflight,Developer of first commercial space station. Plans to attach modules to ISS then separate as standalone station. Axiom Station is a successor to ISS. Raised $350M in 2023.,USA,Crunchbase,Crunchbase News — The Week's 10 Biggest Funding Rounds: Axiom Space Rockets To Top (Oct 2023),https://news.crunchbase.com/venture/biggest-funding-rounds-biotch-artificial-intelligence-space-axiom/,Described as 'top of this week's list' for the week of ~Labor Day 2023. One of the largest commercial space station raises of 2023.
mega_deal,Growth VC,Space,2023,Q4,Blue Origin,2000,,Q4 2023,Self-Recapitalization (personal capital),Jeff Bezos (personal capital injection),,,space; launch vehicle; New Glenn; commercial launch; space infrastructure,$2B self-recapitalization by Jeff Bezos. Major reorganization focused on getting New Glenn launch vehicle to market and broader space applications. Space Capital IQ highlighted as 'emblematic of 2023.',USA,Space Capital IQ,Space Capital IQ — Q4 2023 Review Podcast,https://www.spacecapital.com/podcasts/space-iq-q4-2023-review,⚠️ NOT a traditional VC round — Jeff Bezos personal capital. Not included in Crunchbase VC definitions. Would classify as 'private equity' or self-funding in the plan doc schema. Included here for completeness as a large capital event.
mega_deal,Growth VC,Space,2023,Q1,SpaceX,750,,Q2/Q3 2023,Private Round,Andreessen Horowitz (a16z) — reported likely lead,,,space; launch; Starlink; satellite; Starship; space infrastructure,SpaceX sought to raise $750M at $137B valuation in 2023. a16z reported as likely lead. Funded ongoing Starlink expansion and Starship development.,USA,Crunchbase / CNBC,Crunchbase News — SpaceX Shooting For $750M Round At $137B Valuation,https://news.crunchbase.com/venture/spacex-unicorn-fundraise-2023-musk-a16z,⚠️ Exact close confirmation not in retrieved sources. CNBC reported the raise was in progress. Verify exact amount and close date against primary announcement.
mega_deal,Growth VC,Space,2023,Q2,Astranis,200,,April 2023,Series C,Andreessen Horowitz (a16z),,,space; satellites; satellite internet; connectivity; remote sensing,Building a network of small geostationary satellites to provide broadband internet access to remote regions. $200M at $1.6B valuation led by a16z.,USA,Crunchbase,Crunchbase News — Astranis Aims For Stars With New $200M Round (Jul 2024 references Apr 2023 raise),https://news.crunchbase.com/venture/startup-astranis-raise-andreessen-bam,Confirmed April 2023 at $1.6B valuation per Bloomberg. Later raised another $200M round in July 2024 co-led by a16z and Bam Elevate.
mega_deal,Growth VC,Space,2023,Q1,Sierra Space,290,,Q1 2023,Series B,Undisclosed,,,space; commercial space station; Dream Chaser; orbital; dual-use,"Developer of Dream Chaser spaceplane and commercial space station modules. Sierra Space is a subsidiary of Sierra Nevada Corporation, with strong dual-use Space/Defense positioning.",USA,Worth.com / Crunchbase,Worth — Investments in Space Tech Companies Surged in 2024,https://worth.com/space-tech-boom-2024/,Dual-use: Sierra Space has both commercial and defense/government contracts. Later raised $1.5B in 2025.
mega_deal,Growth VC,Defense,2023,Q4,Shield AI,200,,October 2023,Series F,Riot Ventures; US Innovative Technology Fund,,,defense tech; AI pilots; autonomous drones; autonomy; C4ISR; Hivemind,AI-powered autonomous drone pilot system. Valued at $2.7B. Hivemind software enables aircraft to operate without GPS or communications. 'It later added another $300M in debt and equity to the round.' — Crunchbase,USA,Crunchbase,Crunchbase News — The 10 Biggest Rounds Of March 2025 (references Oct 2023 Series F),https://news.crunchbase.com/venture/biggest-rounds-march-2025-ai-it-fintech/,The $200M Series F (October 2023) had an additional $300M in debt + equity added — some of that addition likely closed in 2024. Combined round total: $500M.
mega_deal,Growth VC,Dual-Use,2023,Q4,True Anomaly,100,,December 2023,Series B,Riot Ventures,,,space security; orbital defense; space situational awareness; dual-use; SSA,Develops hardware and software for space security and readiness. Helps government and commercial customers monitor threats to space assets (satellites). Valuation below $1B at this round.,USA,Crunchbase,Crunchbase News — Defense Tech Funding Slows At Start Of Year (references Dec 2023 raise),https://news.crunchbase.com/ai/defense-military-ai-tech-startups-vc-funding-anduril-shield-ai/,Space-defense dual-use company. Later raised $260M Series C in May 2025 and $600M Series D in April/May 2026.
mega_deal,Growth VC,Defense,2023,Q4,Gecko Robotics,100,,December 2023,Series C Extension,US Innovative Technology Fund; Founders Fund,,,defense tech; robotics; critical infrastructure; inspection; dual-use,"Creates robots to assess the safety and condition of critical infrastructure (power plants, pipelines, ships). Strong dual-use Defense/Commercial positioning.",USA,Crunchbase,Crunchbase News — Defense Tech Funding Slows At Start Of Year,https://news.crunchbase.com/ai/defense-military-ai-tech-startups-vc-funding-anduril-shield-ai/,Prior $73M Series C in March 2022. December 2023 extension adds $100M. Defense-critical infrastructure inspection.
mega_deal,Growth VC,Defense,2024,Q3,Anduril Industries,1500,,August 2024,Series F,Founders Fund; Sands Capital Ventures,,,defense tech; autonomous weapons; AI; drones; undersea vehicles; autonomous aircraft; Lattice AI,Valuation jumped to $14B (from $8.5B). Company doubled revenue to ~$500M in 2023. Funding to 'hyper-scale' manufacturing of autonomous weapons including Fury (autonomous fighter jet) and autonomous undersea vehicles.,USA,Crunchbase / TechCrunch,TechCrunch — Anduril Raises $1.5B To Hyper-Scale Defense Production,https://techcrunch.com/2024/08/07/anduril-raises-1-5b-to-hyper-scale-defense-production,Anduril $1.5B = 50% of the Crunchbase annual defense total ($3B) for 2024. US Army $22B AR/VR headset contract (originally Microsoft's) reassigned to Anduril in Feb 2025.
mega_deal,Growth VC,Defense,2024,Q2,Helsing,487,,Q2 2024,Series C,General Catalyst,,,defense tech; AI weapons; Europe; Ukraine; autonomous systems; machine learning,German AI weapons startup. Active in Ukraine since 2022 with personnel deployed. AI-powered defense platform for processing sensor data and enabling autonomous targeting. Largest European defense tech raise of 2024.,Germany,Crunchbase / TechCrunch,TechCrunch — Led By Anduril Defense Tech Funding Sets A New Record This Year,https://techcrunch.com/2024/11/20/led-by-anduril-defense-tech-funding-sets-a-new-record-this-year,European defense tech — included in global Crunchbase figures. Ukraine war context drove investor interest.
mega_deal,Growth VC,Space,2024,Q3,Astranis,200,,July 2024,Undisclosed,Andreessen Horowitz (a16z); Bam Elevate,,,space; satellites; satellite internet; connectivity; geostationary,Building Omega satellite network for broadband connectivity in remote regions. Second large a16z-led raise in ~15 months. Company has raised $750M+ total.,USA,Crunchbase,Crunchbase News — Astranis Aims For Stars With New $200M Round,https://news.crunchbase.com/venture/startup-astranis-raise-andreessen-bam,Space-Capital IQ infrastructure category. Satellite comms for remote/military connectivity — potential dual-use.
mega_deal,Growth VC,Defense,2024,Q1,Saronic Technologies,175,,Q1 2024,Series B,Elad Gil,,,defense tech; autonomous maritime; unmanned surface vessels; Navy; autonomy,Designs and manufactures autonomous surface vessels (unmanned drone ships) for the US Navy. Founded by Anduril alumni. Saronic later raised $600M in 2025 quadrupling valuation to $4B.,USA,Crunchbase,TechCrunch — Led By Anduril Defense Tech Funding Sets A New Record This Year,https://techcrunch.com/2024/11/20/led-by-anduril-defense-tech-funding-sets-a-new-record-this-year,Autonomous maritime = one of the fastest-growing defense sub-sectors. Saronic became one of the most-funded defense companies of 2025.
mega_deal,Growth VC,Defense,2024,Q4,Chaos Industries,145,,Q4 2024,Series B,Undisclosed,,,defense tech; radar; counter-UAS; detection; anti-drone; Vanquish,"Advanced detection, monitoring and communication solutions for defense and commercial sectors. Vanquish radar provides early warning against UAS, missiles and aircraft. Founded 2022. Later raised $275M Series C (May 2025) and $510M (Nov 2025).",USA,Crunchbase,Crunchbase News — The Week's Biggest Funding Rounds: Investors Look To Stars And Defense (May 2025),https://news.crunchbase.com/?p=91605,"Chaos raised $145M (Q4 2024) then $275M (May 2025, valued at $2B) then $510M (Nov 2025). Total: $1B+ since founding in 2022."
mega_deal,Growth VC,Defense,2024,UNCONFIRMED,Epirus,200,,2024,Series C,8VC,,,defense tech; directed energy; high-power microwave; counter-UAS; anti-drone,"High-energy, high-power microwave technology to counter drones, drone swarms, and electronics. Leonidas system deployed to US Army ($66M contract 2023). LA-based.",USA,Defense Tech Investors / Crunchbase,Defense Tech Investors — Ellty 2025 (references $200M Series C 2024),https://www.ellty.com/blog/defense-tech-investors,Previously valued at $1.35B at Series C. Total funding >$550M by March 2025. Raised $250M Series D in March 2025 led by 8VC and Washington Harbour Partners.
mega_deal,Growth VC,Defense,2024,UNCONFIRMED,Hadrian,180,,2024,Series C,Lux Capital; a16z (prior rounds); others,,,defense manufacturing; precision machining; aerospace parts; production scale-up,Automated precision manufacturing for defense and aerospace. Builds CNC machine shops using AI to produce precision metal parts for defense contractors. Series C.,USA,Defense Tech Investors,Defense Tech Investors — Ellty 2025 (references $180M Series C 2024),https://www.ellty.com/blog/defense-tech-investors,Quarter and exact close date unconfirmed. Verify against primary press release.
mega_deal,Growth VC,Dual-Use,2024,UNCONFIRMED,True Anomaly,100,,2024 (per Defense Tech Investors article),Series B,Eclipse Ventures,,,space security; orbital defense; space situational awareness; dual-use; SSA; government,Space security and orbital readiness. Monitors threats to assets in space. Strong government/DoD customer base.,USA,Defense Tech Investors,Defense Tech Investors — Ellty 2025,https://www.ellty.com/blog/defense-tech-investors,"⚠️ Possible date conflict: Crunchbase confirms $100M 'late 2023' round (Dec 2023, Riot Ventures lead). The Defense Tech Investors article references 'True Anomaly $100M Series B 2024.' May be the same Dec 2023 round with a 2024 close date, or a separate tranche. Verify against primary source."
mega_deal,Growth VC,Defense,2025,Q2,Anduril Industries,2500,,June 2025,Series G,Founders Fund,,,defense tech; autonomous weapons; AI; Lattice; Fury; undersea; counter-UAS; drones,Valuation doubled to $30.5B from $14B. Company doubled revenue in 2024 to ~$1B. US Army $22B AR/VR headset contract reassigned from Microsoft to Anduril in Feb 2025.,USA,Crunchbase / TechCrunch,TechCrunch — Anduril Raises $2.5B At $30.5B Valuation Led By Founders Fund,https://techcrunch.com/2025/06/05/anduril-raises-2-5b-at-30-5b-valuation-led-by-founders-fund,"Anduril was 8th on Crunchbase's list of largest funding rounds of 2025. Revenue: $1B in 2024, $2.2B in 2025 (per June 2026 follow-up). Raised $5B at $61B valuation in May 2026."
mega_deal,Growth VC,Defense,2025,Q2,Saronic Technologies,600,,Q2 2025,Series C,Elad Gil,,,defense tech; autonomous maritime; unmanned surface vessels; Navy; autonomy,"Autonomous surface vessel company. $600M round quadrupled valuation to $4B. Based in Austin, TX. Designs and manufactures autonomous drone ships for the US Navy.",USA,Crunchbase / CNBC,TechCrunch — Shield AI Raises $240M (references Saronic $600M from 'last month'),https://techcrunch.com/2025/03/06/shield-ai-raises-240-million-at-a-5-3-billion-valuation-to-commercialize-its-ai-drone-tech,"Saronic raised $830M across just three rounds (per New Market Pitch), with highest average round size (~$277M) among well-documented defense startups."
mega_deal,Growth VC,Defense,2025,Q1,Shield AI,240,,March 2025,Series F-1 (Strategic),Hanwha Aerospace; L3 Harris Technologies (strategic); a16z; US Innovative Technology Fund,,,defense tech; AI pilots; autonomous drones; Hivemind; autonomy; C4ISR,Strategic funding with Hanwha Aerospace and L3 Harris as key investors. Valued at $5.3B — nearly double prior $2.7B. Hivemind software enables autonomous aircraft operation in denied environments. ARR surpassed $300M.,USA,Crunchbase,TechCrunch — Shield AI Raises $240M At $5.3B Valuation,https://techcrunch.com/2025/03/06/shield-ai-raises-240-million-at-a-5-3-billion-valuation-to-commercialize-its-ai-drone-tech,"Strategic investor participation (Hanwha, L3 Harris) signals integration with traditional defense primes. Air Force selected Shield AI Hivemind for Anduril Fury jet project alongside Anduril hardware."
mega_deal,Growth VC,Defense,2025,Q1,Epirus,250,,March 2025,Series D,8VC; Washington Harbour Partners,,,defense tech; directed energy; high-power microwave; counter-UAS; Leonidas; anti-drone,"High-power microwave platform. General Dynamics Land Systems participated strategically. 'With our capital... it will become critical for defending aircraft, ships and even satellites.' — Joe Lonsdale, 8VC. Round oversubscribed. Total funding >$550M.",USA,Crunchbase,Crunchbase News — Startup Epirus Secures Funding Anti-Drone Tech 8VC,https://news.crunchbase.com/defense-tech/startup-epirus-secures-funding-anti-drone-tech-8vc,Mentioned by 8VC's Joe Lonsdale that Epirus tech could defend satellites and space platforms — dual-use Space/Defense classification warranted.
mega_deal,Growth VC,Dual-Use,2025,Q2,True Anomaly,260,,May 2025,Series C,Accel,,,space security; orbital defense; space situational awareness; dual-use; government; commercial,Hardware and software for space security and readiness. Tracks threats to space assets (satellites) for government and commercial customers. Total raised $418M per Crunchbase.,USA,Crunchbase,Crunchbase News — The Week's Biggest Funding Rounds: Investors Look To Stars And Defense (May 2025),https://news.crunchbase.com/venture/biggest-funding-rounds-chaos-industries-true-anomaly-apex/,Later raised $600M Series D in late April/May 2026. True Anomaly represents the growing Space/Defense Dual-Use category — orbital awareness is both civilian and military-critical.
mega_deal,Growth VC,Defense,2025,Q2,Chaos Industries,275,,May 2025,Series C,Accel; New Enterprise Associates,,,defense tech; radar; counter-UAS; detection; Vanquish; critical infrastructure,"Less than six months after $145M Series B, raised $275M at $2B valuation. Vanquish radar: early warning and tracking against UAS, missiles, and aircraft. Based in Los Angeles.",USA,Crunchbase,Crunchbase News — The Week's Biggest Funding Rounds: Investors Look To Stars And Defense (May 2025),https://news.crunchbase.com/venture/biggest-funding-rounds-chaos-industries-true-anomaly-apex/,Chaos later raised $510M in November 2025 per LA Business Journal. Total raised: $1B+ since founding in 2022.
mega_deal,Growth VC,Space,2025,Q2,Apex,200,,May 2025,Series C,8VC; Point72 Ventures,,,space; satellite manufacturing; spacecraft bus; mass production; government; DoD,Streamlines satellite manufacturing via mass-produced spacecraft buses. Primary customers include US Department of Defense. Total raised $322M per Crunchbase.,USA,Crunchbase,Crunchbase News — The 10 Biggest Rounds Of April 2025,https://news.crunchbase.com/business/biggest-rounds-april-2025-safe-superintelligence-plaid/,Apex represents the satellite manufacturing sub-sector critical to DoD's proliferated LEO (Low Earth Orbit) constellation strategy.
mega_deal,Growth VC,Space,2025,Q3,Sierra Space,1500,,Q3 2025,Undisclosed,Undisclosed,,,space; commercial space station; Dream Chaser; spaceplane; dual-use; Sierra Nevada,Developer of Dream Chaser spaceplane and commercial space station modules. Subsidiary of Sierra Nevada Corporation. Strong dual-use civilian/defense positioning.,USA,SpaceNexus,SpaceNexus — Space Industry Statistics 2026,https://spacenexus.us/space-stats,⚠️ Limited sourcing for this specific $1.5B figure — verify against Sierra Space primary press release or Space Capital IQ Q3 2025 report.
mega_deal,Growth VC,Space,2025,Q3,Vast,1000,,Q3 2025,Undisclosed,Undisclosed,,,space; commercial space station; Haven-1; SpaceX partnership; orbital,Commercial space station developer. SpaceX partnership for launch services. Haven-1 designed as first commercial space station module to host scientific research and tourism.,USA,SpaceNexus,SpaceNexus — Space Industry Statistics 2026,https://spacenexus.us/space-stats,⚠️ Limited sourcing for this specific $1B figure — verify against Vast primary press release or Space Capital IQ Q3 2025 report.
mega_deal,Growth VC,Defense,2025,Q4,Chaos Industries,510,,November 2025,Series D (estimated),Undisclosed,,,defense tech; radar; counter-UAS; detection; Vanquish; critical infrastructure,November 2025 raise brings total raised to $1B+ since founding in 2022. Confirms Chaos as one of the fastest capital-accumulation stories in defense tech.,USA,LA Business Journal,LA Business Journal — Defense Aerospace Top Unicorn Startups,https://labusinessjournal.com/featured/defense-aerospace-top-unicorn-startups/,⚠️ LIMITED SOURCING: $510M November 2025 figure from LA Business Journal feature. Verify exact amount and round type against primary Chaos Industries press release.
