record_type,funding_type,sector_unified,year,quarter,company_name,amount_usd_millions,deal_count,date_announced,round_type,lead_investors,agency,program_name,original_category_tags,description,country,source_database,source_name,source_url,notes
mega_deal,Growth VC,Defense,2024,Q2,Helsing,487,,Q2 2024,Series C,General Catalyst,,,defense tech; AI weapons; Europe; Ukraine; autonomous systems; machine learning,German AI weapons startup. Active in Ukraine since 2022 with personnel deployed. AI-powered defense platform for processing sensor data and enabling autonomous targeting. Largest European defense tech raise of 2024.,Germany,Crunchbase / TechCrunch,TechCrunch — Led By Anduril Defense Tech Funding Sets A New Record This Year,https://techcrunch.com/2024/11/20/led-by-anduril-defense-tech-funding-sets-a-new-record-this-year,European defense tech — included in global Crunchbase figures. Ukraine war context drove investor interest.
mega_deal,Growth VC,Defense,2024,Q1,Saronic Technologies,175,,Q1 2024,Series B,Elad Gil,,,defense tech; autonomous maritime; unmanned surface vessels; Navy; autonomy,Designs and manufactures autonomous surface vessels (unmanned drone ships) for the US Navy. Founded by Anduril alumni. Saronic later raised $600M in 2025 quadrupling valuation to $4B.,USA,Crunchbase,TechCrunch — Led By Anduril Defense Tech Funding Sets A New Record This Year,https://techcrunch.com/2024/11/20/led-by-anduril-defense-tech-funding-sets-a-new-record-this-year,Autonomous maritime = one of the fastest-growing defense sub-sectors. Saronic became one of the most-funded defense companies of 2025.
mega_deal,Growth VC,Defense,2024,Q4,Chaos Industries,145,,Q4 2024,Series B,Undisclosed,,,defense tech; radar; counter-UAS; detection; anti-drone; Vanquish,"Advanced detection, monitoring and communication solutions for defense and commercial sectors. Vanquish radar provides early warning against UAS, missiles and aircraft. Founded 2022. Later raised $275M Series C (May 2025) and $510M (Nov 2025).",USA,Crunchbase,Crunchbase News — The Week's Biggest Funding Rounds: Investors Look To Stars And Defense (May 2025),https://news.crunchbase.com/?p=91605,"Chaos raised $145M (Q4 2024) then $275M (May 2025, valued at $2B) then $510M (Nov 2025). Total: $1B+ since founding in 2022."
mega_deal,Growth VC,Defense,2024,UNCONFIRMED,Epirus,200,,2024,Series C,8VC,,,defense tech; directed energy; high-power microwave; counter-UAS; anti-drone,"High-energy, high-power microwave technology to counter drones, drone swarms, and electronics. Leonidas system deployed to US Army ($66M contract 2023). LA-based.",USA,Defense Tech Investors / Crunchbase,Defense Tech Investors — Ellty 2025 (references $200M Series C 2024),https://www.ellty.com/blog/defense-tech-investors,Previously valued at $1.35B at Series C. Total funding >$550M by March 2025. Raised $250M Series D in March 2025 led by 8VC and Washington Harbour Partners.
mega_deal,Growth VC,Defense,2024,UNCONFIRMED,Hadrian,180,,2024,Series C,Lux Capital; a16z (prior rounds); others,,,defense manufacturing; precision machining; aerospace parts; production scale-up,Automated precision manufacturing for defense and aerospace. Builds CNC machine shops using AI to produce precision metal parts for defense contractors. Series C.,USA,Defense Tech Investors,Defense Tech Investors — Ellty 2025 (references $180M Series C 2024),https://www.ellty.com/blog/defense-tech-investors,Quarter and exact close date unconfirmed. Verify against primary press release.
mega_deal,Growth VC,Defense,2025,Q2,Anduril Industries,2500,,June 2025,Series G,Founders Fund,,,defense tech; autonomous weapons; AI; Lattice; Fury; undersea; counter-UAS; drones,Valuation doubled to $30.5B from $14B. Company doubled revenue in 2024 to ~$1B. US Army $22B AR/VR headset contract reassigned from Microsoft to Anduril in Feb 2025.,USA,Crunchbase / TechCrunch,TechCrunch — Anduril Raises $2.5B At $30.5B Valuation Led By Founders Fund,https://techcrunch.com/2025/06/05/anduril-raises-2-5b-at-30-5b-valuation-led-by-founders-fund,"Anduril was 8th on Crunchbase's list of largest funding rounds of 2025. Revenue: $1B in 2024, $2.2B in 2025 (per June 2026 follow-up). Raised $5B at $61B valuation in May 2026."
mega_deal,Growth VC,Defense,2025,Q2,Saronic Technologies,600,,Q2 2025,Series C,Elad Gil,,,defense tech; autonomous maritime; unmanned surface vessels; Navy; autonomy,"Autonomous surface vessel company. $600M round quadrupled valuation to $4B. Based in Austin, TX. Designs and manufactures autonomous drone ships for the US Navy.",USA,Crunchbase / CNBC,TechCrunch — Shield AI Raises $240M (references Saronic $600M from 'last month'),https://techcrunch.com/2025/03/06/shield-ai-raises-240-million-at-a-5-3-billion-valuation-to-commercialize-its-ai-drone-tech,"Saronic raised $830M across just three rounds (per New Market Pitch), with highest average round size (~$277M) among well-documented defense startups."
mega_deal,Growth VC,Defense,2025,Q1,Shield AI,240,,March 2025,Series F-1 (Strategic),Hanwha Aerospace; L3 Harris Technologies (strategic); a16z; US Innovative Technology Fund,,,defense tech; AI pilots; autonomous drones; Hivemind; autonomy; C4ISR,Strategic funding with Hanwha Aerospace and L3 Harris as key investors. Valued at $5.3B — nearly double prior $2.7B. Hivemind software enables autonomous aircraft operation in denied environments. ARR surpassed $300M.,USA,Crunchbase,TechCrunch — Shield AI Raises $240M At $5.3B Valuation,https://techcrunch.com/2025/03/06/shield-ai-raises-240-million-at-a-5-3-billion-valuation-to-commercialize-its-ai-drone-tech,"Strategic investor participation (Hanwha, L3 Harris) signals integration with traditional defense primes. Air Force selected Shield AI Hivemind for Anduril Fury jet project alongside Anduril hardware."
mega_deal,Growth VC,Defense,2025,Q1,Epirus,250,,March 2025,Series D,8VC; Washington Harbour Partners,,,defense tech; directed energy; high-power microwave; counter-UAS; Leonidas; anti-drone,"High-power microwave platform. General Dynamics Land Systems participated strategically. 'With our capital... it will become critical for defending aircraft, ships and even satellites.' — Joe Lonsdale, 8VC. Round oversubscribed. Total funding >$550M.",USA,Crunchbase,Crunchbase News — Startup Epirus Secures Funding Anti-Drone Tech 8VC,https://news.crunchbase.com/defense-tech/startup-epirus-secures-funding-anti-drone-tech-8vc,Mentioned by 8VC's Joe Lonsdale that Epirus tech could defend satellites and space platforms — dual-use Space/Defense classification warranted.
mega_deal,Growth VC,Defense,2025,Q2,Chaos Industries,275,,May 2025,Series C,Accel; New Enterprise Associates,,,defense tech; radar; counter-UAS; detection; Vanquish; critical infrastructure,"Less than six months after $145M Series B, raised $275M at $2B valuation. Vanquish radar: early warning and tracking against UAS, missiles, and aircraft. Based in Los Angeles.",USA,Crunchbase,Crunchbase News — The Week's Biggest Funding Rounds: Investors Look To Stars And Defense (May 2025),https://news.crunchbase.com/venture/biggest-funding-rounds-chaos-industries-true-anomaly-apex/,Chaos later raised $510M in November 2025 per LA Business Journal. Total raised: $1B+ since founding in 2022.
mega_deal,Growth VC,Defense,2025,Q4,Chaos Industries,510,,November 2025,Series D (estimated),Undisclosed,,,defense tech; radar; counter-UAS; detection; Vanquish; critical infrastructure,November 2025 raise brings total raised to $1B+ since founding in 2022. Confirms Chaos as one of the fastest capital-accumulation stories in defense tech.,USA,LA Business Journal,LA Business Journal — Defense Aerospace Top Unicorn Startups,https://labusinessjournal.com/featured/defense-aerospace-top-unicorn-startups/,⚠️ LIMITED SOURCING: $510M November 2025 figure from LA Business Journal feature. Verify exact amount and round type against primary Chaos Industries press release.
mega_deal,Venture Debt,Defense,2025,Q2,Hermeus,150,,April 2025,Venture Debt (alongside $200M equity),Multiple — alongside Khosla Ventures equity round,,,defense tech; hypersonic aircraft; autonomous; dual-use; Air Force,"Developing autonomous hypersonic military aircraft exceeding Mach 5. $200M equity (Khosla Ventures-led) + $150M debt = $350M total round. Other equity investors: Founders Fund, RTX Ventures, IQT, Cox Enterprises.",USA,Crunchbase,Crunchbase News — The Week's 10 Biggest Funding Rounds: SiFive Leads,https://news.crunchbase.com/venture/biggest-funding-rounds-chips-aviation-biotech-sifive,Hermeus $150M debt component is an example of the Venture Debt pattern called out in the plan document. Total round $350M. Valuation $1B post-round. Per the plan doc: systematic venture debt tracking requires PitchBook API debt-round filter.
