record_type,year,quarter,company,amount_usd_millions,deal_count,date,subsector,country,lead_investor,round_type,source_name,source_url,notes
mega_deal,2023,Q2,Mistral AI,113,,June 2023,Foundation Model / Open-Weight LLM,France,Lightspeed Venture Partners,Seed,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023,https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,"'Paris-based Mistral AI raised near $500M' — the €113M seed round in June, then ~€385M Series A in Dec 2023. One of the largest seed rounds in European history at the time."
mega_deal,2023,Q2,Aleph Alpha,500,,Q2 2023,Foundation Model / European Sovereign AI,Germany,Bosch; SAP; Volkswagen; Schwarz Group; Burda,Series B,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023,https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,"'Germany-based Aleph Alpha raised rounds at or near $500M' per Crunchbase. European sovereign AI model. Strategic corporate investors — Bosch, SAP, Volkswagen."
mega_deal,2023,Q4,Anthropic,2000,,October 2023,Foundation Model / Generative AI (Safety-focused),USA,Google,Strategic Investment,Crunchbase News — Artificial Buildup: AI Startups Were Hot In 2023,https://news.crunchbase.com/ai/hot-startups-2023-openai-anthropic-forecast-2024/,'Anthropic reportedly raised up to $2B from Google in October. Seeking valuation between $20B and $30B' per Crunchbase. Google had also invested $300M in Anthropic in early 2023.
mega_deal,2024,Q4,Databricks,10000,,December 2024,AI Data / MLOps / Lakehouse Platform,USA,Thrive Capital; Andreessen Horowitz; DST Global,Series J,Crunchbase News — Eye On AI: AI Venture Funding Shattered Quarterly Records In Q4 (Jan 8 2025),https://news.crunchbase.com/ai/venture-funding-shattered-quarterly-records-q4-2024/,"'The largest venture capital raise of 2024 and one of the largest on record' per Crunchbase. Valued at $62B. One of four massive Q4 2024 rounds (with OpenAI, xAI, Anthropic) that pushed Q4 AI funding to $42B = 42% of the full year."
mega_deal,2024,Q4,OpenAI,6600,,October 2024,Foundation Model / Generative AI,USA,Thrive Capital,Private Round,Crunchbase News — Eye On AI: AI Venture Funding Shattered Quarterly Records In Q4,https://news.crunchbase.com/ai/venture-funding-shattered-quarterly-records-q4-2024/,"Valued at $157B post-money. 'In early October, OpenAI announced its long-awaited raise of $6.6 billion at a post-money valuation of $157 billion led by Thrive Capital.' Part of the Q4 2024 AI mega-deal cluster."
mega_deal,2024,Q4,xAI,6000,,November 2024,Foundation Model / Generative AI,USA,Qatar Investment Authority; Valor Equity Partners; a16z; Sequoia,Series C,Crunchbase News — Eye On AI: AI Venture Funding Shattered Quarterly Records In Q4,https://news.crunchbase.com/ai/venture-funding-shattered-quarterly-records-q4-2024/,Elon Musk's AI company. 'xAI raised another $6 billion in a funding round valuing it at $50 billion.' Part of Q4 2024 cluster.
mega_deal,2024,Q4,Anthropic,4000,,November 2024,Foundation Model / Generative AI (Safety-focused),USA,Amazon,Strategic Investment,Crunchbase News — Eye On AI: AI Venture Funding Shattered Quarterly Records In Q4,https://news.crunchbase.com/ai/venture-funding-shattered-quarterly-records-q4-2024/,'Amazon agreed to invest another $4 billion in AI startup Anthropic — giving it a minority stake.' Amazon's total Anthropic investment reached $8B with this tranche.
mega_deal,2024,Q2,xAI,6000,,May 2024,Foundation Model / Generative AI,USA,Valor Equity Partners; Andreessen Horowitz; Sequoia; Fidelity,Series B,Crunchbase News — Monthly Recap May 2024,https://news.crunchbase.com/venture/monthly-funding-recap-may-2024/,"'Elon Musk's xAI raised the largest funding [in May 2024], $6 billion at a $24 billion valuation.' First major xAI raise after company founded in 2023."
mega_deal,2024,Q1,Anthropic,4000,,Q1 2024,Foundation Model / Generative AI (Safety-focused),USA,Amazon; Google,Strategic Investment,Crunchbase News — Q1 2025 Global Startup Funding (references Anthropic Q4 2024 and Q1 2025 raises),https://news.crunchbase.com/venture/global-funding-strong-q1-2025-ai-data/,'Anthropic raised $4 billion in Q4 [2024].' Q1 2024 also saw Amazon complete its originally announced $4B commitment to Anthropic. Combined 2024 total Amazon investment in Anthropic = $8B.
mega_deal,2024,Q1,Mistral AI,600,,June 2024,Foundation Model / Open-Weight LLM,France,General Catalyst; Andreessen Horowitz; Lightspeed,Series B,Crunchbase / TechCrunch,https://news.crunchbase.com/venture/startups-ai-seed-investors-data-charts-ye-2024/,600M EUR (~$640M USD). Valued at $6B. Open-weight LLM model competing with Meta Llama. European sovereign AI champion.
mega_deal,2025,Q1,OpenAI,40000,,March 2025,Foundation Model / Generative AI,USA,SoftBank,Private Round,Crunchbase News — Q1 Global Startup Funding Posts Strongest Quarter Since Q2 2022 (Apr 2025),https://news.crunchbase.com/venture/global-funding-strong-q1-2025-ai-data/,⚠️ MEGA-ROUND DISTORTION: 'Record-setting $40 billion SoftBank-backed financing in March' = ~19% of the entire $211B 2025 AI annual total. 'Largest round ever raised by a private VC-backed company.' Valued at $300B. 'OpenAI has raised a total of $57.6 billion since founding.' SoftBank to build syndicate of co-investors for $10B; funds remaining $30B itself with $10B in debt.
mega_deal,2025,Q1,Anthropic,4500,,Q1 2025,Foundation Model / Generative AI (Safety-focused),USA,Multiple — Google; Amazon continuing investment,Strategic / Private,Crunchbase News — Q1 Global Startup Funding Posts Strongest Quarter Since Q2 2022,https://news.crunchbase.com/venture/global-funding-strong-q1-2025-ai-data/,"'Anthropic raised $4.5 billion across two funding rounds [in Q1 2025], after raising $4 billion in Q4 [2024].' Cumulative Anthropic fundraising exceeded $20B by mid-2025. Valued at $61.5B in March 2025 raise."
mega_deal,2025,Q2,Scale AI,14300,,Q2 2025,AI Data Labeling / RLHF Infrastructure,USA,Accel,Series F,Crunchbase News — Q2 Global Venture Funding Climbs In Blockbuster Quarter For AI (Aug 2025),https://news.crunchbase.com/venture/global-funding-climbs-q2-2025-ai-ma-data/,"'Scale AI, with $14.3 billion in Q2' was the second-largest single venture round on record at the time, after OpenAI Q1. 'Both of the two largest venture fundings on record were raised this year [2025].' Valued at $13.8B in 2024, surged to ~$140B+ with this raise."
mega_deal,2025,Q3,Anthropic,3500,,March 2025,Foundation Model / Generative AI (Safety-focused),USA,Lightspeed Venture Partners,Private Round,Crunchbase News — The Weeks Biggest Funding Rounds: AI And Defense Tech Lead (Mar 2025),https://news.crunchbase.com/venture/biggest-funding-rounds-ai-defense-anthropic-epirus/,"'Anthropic raised a $3.5 billion funding round led by Lightspeed Venture Partners, valuing it at $61.5 billion.' Q3 2025 also saw Anthropic receive $28B from Google per Q3 2025 Crunchbase global recap."
mega_deal,2025,Q1,xAI,6000,,Q1 2025,Foundation Model / Generative AI,USA,Multiple undisclosed,Series D (reported),Crunchbase News — As Funding To AI Startups Increases And Concentrates Which Investors Have Led (Aug 2025),https://news.crunchbase.com/venture/big-dollar-ai-investors-2025-softbank/,"xAI was among '8 companies that collectively raised $73B via billion-dollar rounds [in 2025], representing 62% of AI funding.' xAI raised additional rounds across 2025; exact Q1 round details need primary verification."
mega_deal,2025,Q4,Safe Superintelligence (SSI),2000,,Q4 2025,Foundation Model / Generative AI (Safety-focused),USA,Greenoaks,Undisclosed,Crunchbase News — The Weeks 10 Biggest Funding Rounds: A Lot Of Really Big Deals (Nov 2025),https://news.crunchbase.com/venture/biggest-funding-rounds-ai-fintech-lambda/,Founded by Ilya Sutskever (former OpenAI chief scientist). 'Greenoaks led the $2 billion funding to Safe Superintelligence.' Among the 15 companies that raised $2B+ in 2025.
